A
2
1.8
1.5
1.3
1
0.7
0.7
0.8
0.8
0.9
1
0.9
0.7
0.5
0.4
0.4
0.3
0.3
0.5
0.7
0.9
1
1.2
1.4
1.3
1.1
1
0.9
0.8
0.5
0.6
0.7
0.9
1
1.1
1.1
1
0.9
0.8
0.7
0.6
0.5
0.7
0.9
1.1
1.3
1.5
1.6
1.5
1.5
1.4
1.3
1.2
1.2
1.2
1.2
1.3
1.3
1.3
1.3
1.2
1.2
0.9
0.8
0.8
0.7
0.8
1.4
1.7
1.7
1.6
1.6
1.5
1.4
1.4
1.2
0.9
0.7
1
1.3
1.6
1.5
1.4
1.3
1.3
1.2
1.2
1.2
0.6
0.6
0.8
0.9
1.1
1.6
2.1
2.6
1.8
1.1
1.1
1.2
1.2
1.3
1.3
1.3
1.3
1
1.1
1.1
1.2
1.1
1
0.9
0.8
0.7
0.9
1.1
1.3
1.5
