A
24.4
24
23.7
22.4
21.2
20
19.4
18.9
18.4
18.2
18
17.7
17.4
17.1
16.8
17.1
17.5
17.8
17.9
19.9
20
20.9
21.9
22.8
22.2
21.6
21
21.9
20.8
19.6
19
18.4
15.7
16.4
17
14.4
14.2
14
14.4
14.4
16
16.3
17.3
18.3
17.3
18.2
21.3
19.3
18.6
21.3
20.2
19.2
18.1
17.1
16.7
16.3
15.9
15.5
15
14.6
15
15.3
16.1
16.5
16.8
17.1
18.1
21
23
23.7
24.4
25
23.8
22.5
22.9
21.3
19.7
18
17.3
16.6
15.8
15.6
15.3
15
15.3
15.7
16
16.3
17.7
18.3
20
21.7
23.3
24.2
25
25.8
24.2
22.8
21.4
20
18.6
17.3
16.9
16.6
16.3
15.8
15.5
15.2
15.1
15.5
15.8
16.1
16.5
16.8
18.1
19.4
20.7
22
