A
2.5
2.5
2.3
2.3
2.3
2.3
2.2
2.2
2.1
2
2
1.7
1.6
1.4
1.3
1.3
1.4
1.4
1.6
1.8
2
2.1
2.3
2.5
2.5
2.4
2.4
2.2
2.1
2.2
2.1
2
1.9
1.8
1.7
1.8
1.8
1.8
1.7
1.7
1.7
1.7
1.8
1.9
2.1
2.2
2.7
1.2
1.4
2.2
2.2
2.3
2.3
2.7
2.6
2.5
2.4
2.3
2.1
2
2
2
1.9
1.9
1.9
1.9
2
1.9
1.9
2.1
2.3
2.6
2.6
2.5
2.4
2.4
2.4
2.4
2.3
2.3
2.2
2.1
2.1
2
2
1.9
1.9
1.8
1.8
1.9
2.2
2.5
2.8
3
3
3.1
2.2
2
2.1
2.2
2.2
2.3
2.3
2.2
2.2
2.2
2.2
2.2
2.2
2.2
2.1
2
2
1.9
2.1
2.2
2.4
2.5
